time,stock_code,current_price,volume,ma5,rsi14,disparity,stoch_k,stoch_d,vol_ratio,z_vol,obv_delta,spread,bid_ask_imbalance,accel_delta,ret_1s,ask1,ask2,ask3,ask4,ask5,bid1,bid2,bid3,bid4,bid5,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty
1.75644E+12,161390,40200,285510,40200,100,100,4.347826087,4.347826087,1.003089619,1.713876374,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285550,40200,100,100,4.347826087,4.347826087,1.002738172,1.676470287,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285568,40200,100,100,4.347826087,4.347826087,1.002310205,1.631449808,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285636,40200,100,100,4.347826087,4.347826087,1.002172152,1.616035535,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285682,40200,100,100,4.347826087,4.347826087,1.001957746,1.59108198,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285701,40200,100,100,4.347826087,4.347826087,1.001762633,1.554956642,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286060,40200,100,100,4.347826087,4.347826087,1.002698832,1.688403262,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286063,40200,100,100,4.347826087,4.347826087,1.00242948,1.638953262,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286066,40200,100,100,4.347826087,4.347826087,1.002230324,1.593732518,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286067,40200,100,100,4.347826087,4.347826087,1.002030739,1.551231986,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286078,40200,100,100,4.347826087,4.347826087,1.001864676,1.516689124,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286165,40200,100,100,4.347826087,4.347826087,1.001949699,1.520057426,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286166,40200,100,100,4.347826087,4.347826087,1.00173662,1.483772229,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286213,40200,100,100,4.347826087,4.347826087,1.001682169,1.471070895,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286214,40200,100,100,4.347826087,4.347826087,1.00152198,1.438451149,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286254,40200,100,100,4.347826087,4.347826087,1.001502145,1.425579151,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286317,40200,100,100,4.347826087,4.347826087,1.001552261,1.423975511,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286369,40200,100,100,4.347826087,4.347826087,1.001558109,1.417759071,0,50,0.331156599,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,286374,40200,100,100,4.347826087,4.347826087,1.001402405,1.391240334,0,100,0.712191441,0,0,40250,40300,40350,40400,40450,40150,40100,40050,40000,39950,1267,490,131,497,285,2707,5666,2680,3293,1538
1.75644E+12,161390,40200,286405,40200,100,100,4.347826087,4.347826087,1.001335907,1.377772266,0,100,0.712191441,0,0,40250,40300,40350,40400,40450,40150,40100,40050,40000,39950,1267,490,131,497,285,2707,5666,2680,3293,1538
1.75644E+12,161390,40150,286458,40190,0,99.90047275,0,2.898550725,1.001355261,1.374838333,-286458,50,0.699458344,-50,-0.124378109,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,691,1103,491,131,497,3295,5666,2680,3293,1538
1.75644E+12,161390,40200,286461,40190,50,100.0248818,4.347826087,2.898550725,1.00120633,1.350401243,286461,50,0.696878876,100,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,711,1103,491,131,497,3242,5666,2680,3293,1538
1.75644E+12,161390,40150,286482,40180,33.33333333,99.92533599,0,1.449275362,1.001119822,1.335135671,-286482,50,0.697141971,-100,-0.124378109,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,708,1103,491,131,497,3242,5666,2680,3293,1538
1.75644E+12,161390,40200,286483,40180,50,100.049776,4.347826087,2.898550725,1.000975179,1.312079866,286483,50,0.679176693,100,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,911,1103,491,131,497,3221,5666,2680,3293,1538
1.75644E+12,161390,40150,286484,40170,40,99.9502116,0,1.449275362,1.000838446,1.2902039,-286484,50,0.679262673,-100,-0.124378109,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,910,1103,491,131,497,3221,5666,2680,3293,1538
1.75644E+12,161390,40150,286485,40170,40,99.9502116,0,1.449275362,1.000704896,1.269411411,0,50,0.674945178,50,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,1042,1026,491,131,497,3245,5666,2680,3293,1538
1.75644E+12,161390,40150,286487,40160,40,99.9750996,0,0,1.000637258,1.250046622,0,50,0.674945178,0,0,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,1042,1026,491,131,497,3245,5666,2680,3293,1538
